,,,,,,,,,,,
,Romaji,Hiragana/Katakana,Kanji,Traducción Español,Traducción Inglés,Ejemplo,Ejemplo en español,Ejemplo en inglés,Nota en español,Nota en inglés,Minna no Nihongo
,Watashi,わたし,私,Yo,I ,私はニコラスです  /    Watashi wa Nicorasu desu.,Yo soy Nicolás.,I'm Nicholas.,"En japonés existen niveles de formalidades. Watashi es la manera formal de decir ""Yo"".","In Japanese there are levels of formalities. Watashi is the formal way of saying ""I""",Lección 1
,Watashitachi,わたしたち,私達,Nosotros.,We,私達は日本語を勉強します  /   Watashitachi wa nihongo wo benkyō shimasu.,Nosotros estudiamos japonés.,We study Japanese.,"En japonés existen niveles de formalidades. Watashitachi es la manera formal de decir ""Nosotros""","In Japanese there are levels of formalities. Watashitachi is the formal way of saying ""We""",Lección 1
,Anata,あなた,,Usted/Tu.,You,あなたは先生ですか  /  Anata wa sensei desu ka.,Tú eres un profesor.,You're a teacher.,,,Lección 1
,Anohito,あのひと,あの人,"Esa persona, él, ella.",That person. He/She,あの人はニコラスですか  /  Anohito wa Nico-san desu ka.,Él/Esa persona es Nicolás.,He/That person is Nicholas.,,,Lección 1
,Anokata,あのかた,あの方,"Esa persona, él, ella(Forma formal de anohito)",That person. He/She. (Formal form of Anohito),あの方は先生ですか  /  Anokata wa sensei desu ka.,Él es un profesor.,He's a teacher.,"En japonés existen niveles de formalidades. ""Anokata"" es la manera de decir ""Él/Ella/Esa persona""","In Japanese there are levels of formalities. ""Anokata"" is the formal way of saying ""He/She/That person""",Lección 1
,Minasan,みなさん,皆さん,"Señores y señoras, todos uds.",Everyone / Everybody,こんにちわ皆ーさん  /  Konnichiwa minna-san.,Buenos días a todos.,Good morning everybody.,,,Lección 1
,〜San,さん,さん,"Honorifico de respeto, se agrega despues del nombre.",Honorific added after a person's name as a sign of respect,ニコラスーさん  /  Nico-san,Sr. Nico,Mr. Nico,,,Lección 1
,〜Chan,ちゃん,ちゃん,Honorifico que se añade a niños,Honorific Honorific added after a person's name. Used for children or as a pet name.,(カンナーちゃん  /  Kanna-chan,Srita. Kanna / Pequeña Kanna.,Miss Kanna ,,,Lección 1
,〜kun,〜くん,,Honorifico añadido a niños varones,Honorific added after a person's name.,ティミーくん  /  Timmy-kun,El pequeño Timmy.,Little Timmy.,,,Lección 1
,〜Jin,〜じん,~ 人,Gentilicio que se usa para indicar nacionalidad,Demonym,アメリカじん  /  Amerika-jin,Americano,American,,,Lección 1
,Sensei,せんせい,先生,"Maestro, profesor, instructor(honorifico)","Teacher, professor, doctor (honorific)",ニコー先生  /  Nico-sensei,Profesor Nicolás.,Teacher Nicholas.,,,Lección 1
,Kyoushi,きょうし,教師,"Maestro, profesor, instructor(profesión)","Teacher, instructor (profession)",私は教師です  /  Watashi wa kyōshi desu,Yo soy un maestro.,I'm a teacher.,,,Lección 1
,Gakusei,がくせい,学生,Estudiante,Student,私達は学生です  /  Watashitachi wa gakusei desu,Yo soy un alumno.,I'm a student.,,,Lección 1
